hub_id,month_year,operating_costs
2,2025-06,371274
7,2025-06,366863
2,2025-01,204669
7,2025-02,423911
4,2025-05,217833
10,2025-09,493591
3,2025-06,179490
10,2025-09,199049
3,2025-09,305424
9,2025-03,138238
7,2025-03,85118
10,2025-12,359201
5,2025-11,178174
4,2025-02,206106
10,2025-06,94155
1,2025-02,42162
10,2025-08,78784
6,2025-02,460928
1,2025-05,417947
8,2025-10,164005
5,2025-11,293246
10,2025-06,331340
4,2025-05,229265
1,2025-04,78954
9,2025-11,271685
2,2025-11,281343
10,2025-06,483593
3,2025-11,167271
4,2025-10,326841
3,2025-03,67869
6,2025-05,172567
10,2025-09,368988
1,2025-11,319074
5,2025-03,85872
6,2025-01,301007
10,2025-09,105254
9,2025-07,444629
10,2025-10,332669
2,2025-03,156458
4,2025-12,249473
10,2025-02,346159
8,2025-12,214209
1,2025-03,391834
10,2025-08,473635
4,2025-11,397705
1,2025-07,333665
5,2025-09,196958
6,2025-11,338325
4,2025-08,164768
7,2025-07,453982
10,2025-10,289840
9,2025-02,137345
9,2025-01,393373
7,2025-05,76894
9,2025-06,77325
1,2025-12,384395
10,2025-03,42304
8,2025-01,370288
5,2025-06,271449
3,2025-11,84738
3,2025-10,134661
3,2025-07,260912
9,2025-06,107859
10,2025-07,268723
7,2025-06,185341
8,2025-06,80753
3,2025-09,431098
8,2025-04,274051
8,2025-06,374021
8,2025-03,453702
7,2025-11,122399
1,2025-12,222265
2,2025-02,276939
6,2025-01,62323
10,2025-04,235077
3,2025-11,496896
4,2025-11,106767
7,2025-11,128025
2,2025-02,76013
1,2025-11,481244
4,2025-04,186390
3,2025-12,283327
4,2025-10,408477
9,2025-09,169623
9,2025-02,373166
1,2025-05,423881
7,2025-06,111221
8,2025-03,365345
10,2025-04,354487
4,2025-09,183384
10,2025-08,486968
10,2025-01,144284
5,2025-10,331834
2,2025-08,280748
9,2025-12,237481
2,2025-09,230999
9,2025-03,115492
10,2025-09,171700
10,2025-11,392190
10,2025-12,106028
10,2025-10,314849
5,2025-10,51585
8,2025-12,267644
9,2025-11,181619
9,2025-06,395608
3,2025-11,441381
3,2025-01,340614
9,2025-03,143428
9,2025-04,171394
3,2025-04,402077
7,2025-09,181676
7,2025-01,369430
1,2025-02,248088
7,2025-09,378440
9,2025-07,216981
5,2025-07,141103
5,2025-08,254176
4,2025-06,373373
8,2025-05,52093
6,2025-06,282171
1,2025-08,124839
9,2025-03,385392
5,2025-01,395582
2,2025-07,51522
3,2025-04,368929
8,2025-01,81552
6,2025-01,424503
2,2025-10,125678
1,2025-10,281285
4,2025-04,185674
9,2025-09,273713
7,2025-10,215208
4,2025-12,334163
9,2025-12,402622
6,2025-01,260746
3,2025-02,46249
2,2025-01,297502
3,2025-09,299116
1,2025-03,66249
1,2025-04,140575
6,2025-05,357723
3,2025-04,203087
9,2025-05,358824
3,2025-08,265410
6,2025-10,435091
5,2025-03,336069
8,2025-04,299105
1,2025-04,438398
2,2025-06,182080
4,2025-12,323159
8,2025-10,224567
8,2025-06,368825
5,2025-05,45160
10,2025-08,339372
10,2025-06,238240
2,2025-08,436297
5,2025-07,247032
4,2025-07,79262
3,2025-10,496301
10,2025-01,408256
3,2025-11,327086
1,2025-08,116590
5,2025-07,257398
2,2025-07,82983
5,2025-08,415162
7,2025-10,279705
9,2025-09,438795
9,2025-12,443886
10,2025-08,96053
8,2025-02,326004
10,2025-01,456185
3,2025-01,320394
8,2025-11,223262
7,2025-01,256711
4,2025-07,140194
7,2025-11,244566
9,2025-05,302171
4,2025-12,44907
8,2025-03,116477
3,2025-08,275036
10,2025-05,276640
8,2025-03,119907
8,2025-07,154938
1,2025-10,52154
1,2025-12,88804
6,2025-06,156883
9,2025-06,473239
6,2025-12,198893
6,2025-06,427798
9,2025-09,199817
8,2025-02,121366
5,2025-05,462079
2,2025-04,157921
8,2025-10,135857
3,2025-06,160450
7,2025-02,289085
6,2025-10,227958
10,2025-06,54824
8,2025-01,280979
9,2025-03,163213
10,2025-06,373590
1,2025-05,161569
9,2025-09,485099
7,2025-06,392035
9,2025-12,264150
1,2025-03,326796
3,2025-04,338992
1,2025-12,490941
1,2025-12,325613
5,2025-06,143583
6,2025-01,350415
3,2025-12,56293
2,2025-01,337209
9,2025-11,419542
4,2025-05,40831
9,2025-07,131253
10,2025-09,490444
1,2025-02,213632
4,2025-02,350436
7,2025-08,483684
7,2025-10,312484
5,2025-07,374848
2,2025-09,243002
10,2025-09,172337
4,2025-11,68958
2,2025-01,265834
9,2025-12,338665
7,2025-08,234978
3,2025-10,432530
6,2025-08,365035
2,2025-11,127585
1,2025-06,64399
2,2025-09,236344
2,2025-09,152105
4,2025-06,218398
6,2025-02,321767
2,2025-02,242173
5,2025-06,390203
2,2025-10,173177
9,2025-12,492997
3,2025-12,215957
8,2025-08,237406
2,2025-09,64449
9,2025-10,394481
6,2025-11,404585
2,2025-08,381972
2,2025-04,82805
10,2025-09,429252
1,2025-08,106662
6,2025-04,228707
3,2025-05,201705
3,2025-06,387529
1,2025-11,284549
3,2025-07,96473
9,2025-03,213268
5,2025-10,98646
8,2025-04,266280
10,2025-07,446512
2,2025-10,447533
7,2025-01,281792
5,2025-05,376155
6,2025-05,310273
6,2025-09,117720
10,2025-04,93913
5,2025-05,452475
10,2025-11,416269
10,2025-07,179547
4,2025-05,211243
5,2025-09,265439
7,2025-03,255895
10,2025-10,323825
3,2025-08,492182
1,2025-08,130085
6,2025-01,354211
1,2025-07,314361
4,2025-10,352957
3,2025-04,258346
3,2025-04,89787
8,2025-09,388321
3,2025-09,246644
7,2025-12,94923
6,2025-01,377973
4,2025-06,304886
7,2025-04,325330
3,2025-02,495401
10,2025-09,460274
9,2025-06,419956
3,2025-02,307764
7,2025-08,414518
8,2025-04,214788
2,2025-01,109055
7,2025-08,415067
1,2025-09,462380
5,2025-08,75428
7,2025-01,478588
5,2025-12,191372
2,2025-01,127323
1,2025-09,105490
3,2025-12,255572
10,2025-06,237185
7,2025-12,113907
4,2025-11,55286
5,2025-07,147803
7,2025-06,80941
5,2025-07,139881
9,2025-01,431549
9,2025-07,226030
10,2025-07,484461
6,2025-07,106503
1,2025-12,250648
5,2025-07,484354
5,2025-04,321239
8,2025-10,297014
1,2025-01,330698
2,2025-07,73980
9,2025-12,428677
9,2025-01,302241
3,2025-11,360952
1,2025-04,292228
2,2025-04,379569
10,2025-01,255948
3,2025-12,200999
5,2025-08,98678
9,2025-05,472659
9,2025-10,147524
3,2025-04,84665
7,2025-10,268551
1,2025-10,381289
4,2025-11,112004
9,2025-07,60914
7,2025-12,328624
5,2025-02,412923
10,2025-05,124850
5,2025-08,319896
1,2025-01,268426
2,2025-10,134607
1,2025-08,273489
1,2025-06,233482
4,2025-08,182453
8,2025-03,161285
9,2025-01,198566
8,2025-07,361774
3,2025-03,123234
8,2025-11,383812
10,2025-05,439719
9,2025-08,108637
4,2025-04,442472
6,2025-01,486171
8,2025-06,448606
8,2025-07,453314
4,2025-02,203813
4,2025-05,42748
3,2025-02,439856
4,2025-01,40041
1,2025-04,470411
7,2025-11,407962
10,2025-12,153926
8,2025-11,260546
1,2025-12,82786
7,2025-03,90208
3,2025-11,243266
9,2025-02,249973
4,2025-11,70761
9,2025-09,225355
3,2025-05,123052
1,2025-05,310256
1,2025-05,490926
10,2025-04,46707
2,2025-10,95094
4,2025-02,212520
7,2025-02,121705
3,2025-10,388146
3,2025-07,441135
4,2025-06,64742
4,2025-01,418436
8,2025-08,263039
2,2025-09,61945
9,2025-08,300458
2,2025-11,107217
1,2025-09,486401
10,2025-01,413821
8,2025-02,204398
2,2025-06,281700
4,2025-03,118665
4,2025-07,174788
6,2025-09,236586
4,2025-08,433369
8,2025-09,203566
6,2025-05,416259
2,2025-12,470180
4,2025-11,89346
8,2025-06,226167
9,2025-02,86688
6,2025-05,52987
7,2025-07,188635
9,2025-02,245374
2,2025-09,228599
9,2025-07,67547
10,2025-12,350663
4,2025-07,429834
3,2025-03,356333
7,2025-08,398467
8,2025-07,361915
4,2025-07,244932
2,2025-10,452624
6,2025-05,245540
4,2025-08,65046
7,2025-07,419006
2,2025-06,288161
7,2025-10,58497
4,2025-06,408846
2,2025-09,254373
3,2025-05,122519
8,2025-02,467552
6,2025-08,92062
2,2025-10,485234
2,2025-08,464939
4,2025-03,271765
3,2025-09,382278
5,2025-02,207076
8,2025-03,184751
6,2025-09,303376
8,2025-10,293900
8,2025-12,118247
6,2025-04,152547
7,2025-05,456107
8,2025-03,69372
3,2025-11,157381
10,2025-09,297863
6,2025-12,166786
7,2025-06,476710
8,2025-07,114101
3,2025-08,337204
6,2025-01,362830
10,2025-07,288063
9,2025-03,445024
4,2025-04,408162
10,2025-12,345725
2,2025-03,488735
2,2025-12,141513
3,2025-08,166129
7,2025-04,394601
8,2025-09,245113
1,2025-08,314160
9,2025-04,51736
2,2025-10,328919
7,2025-09,149005
2,2025-01,282252
4,2025-08,388343
6,2025-04,58576
6,2025-04,289780
10,2025-04,48289
4,2025-09,431903
8,2025-08,105974
9,2025-08,206704
1,2025-07,427468
4,2025-08,497899
2,2025-11,400701
8,2025-08,287129
9,2025-06,272523
6,2025-09,350692
1,2025-08,367027
10,2025-04,394197
2,2025-05,451658
1,2025-11,154160
8,2025-07,498259
10,2025-10,412879
3,2025-04,102714
5,2025-03,70460
8,2025-10,496760
6,2025-06,471983
3,2025-09,404458
5,2025-06,234586
2,2025-06,304525
5,2025-08,497778
10,2025-12,256689
5,2025-08,281886
9,2025-12,300823
9,2025-10,178889
1,2025-03,231103
6,2025-03,393718
4,2025-09,325905
8,2025-07,157182
9,2025-03,123373
5,2025-01,214715
3,2025-07,482117
6,2025-08,49492
10,2025-05,379556
6,2025-02,295222
1,2025-08,87794
7,2025-08,116670
2,2025-06,165268
7,2025-04,460088
6,2025-03,41407
6,2025-11,444578
4,2025-09,432763
1,2025-05,270191
2,2025-03,441762
4,2025-02,462326
2,2025-01,84363
