customer_id,signup_date,customer_type,loyalty_status
180,01-03-2025,Retail,Yes
275,10-05-2025,Enterprise,Yes
442,01-06-2025,Enterprise,Yes
233,20-04-2025,Retail,No
10,13-02-2025,Enterprise,No
17,09-08-2025,Retail,No
426,23-05-2025,Retail,Yes
124,23-08-2025,Retail,Yes
412,02-03-2025,Retail,Yes
60,27-03-2025,Enterprise,No
13,04-08-2025,Retail,No
266,10-12-2025,Retail,Yes
344,07-03-2025,Enterprise,No
155,30-12-2025,Enterprise,No
444,20-04-2025,Enterprise,No
329,24-03-2025,Retail,No
448,18-08-2025,Retail,No
169,20-01-2025,Retail,No
27,06-09-2025,Retail,Yes
225,19-08-2025,Enterprise,No
471,13-08-2025,Retail,Yes
40,21-09-2025,Retail,No
56,15-02-2025,Retail,No
144,10-04-2025,Enterprise,Yes
340,31-07-2025,Enterprise,Yes
322,05-10-2025,Retail,No
94,14-03-2025,Enterprise,Yes
201,15-04-2025,Enterprise,Yes
99,28-03-2025,Enterprise,No
296,28-12-2025,Retail,Yes
131,19-07-2025,Retail,Yes
75,11-02-2025,Enterprise,Yes
135,18-03-2025,Retail,No
355,15-03-2025,Enterprise,No
434,12-02-2025,Enterprise,Yes
160,04-09-2025,Enterprise,Yes
207,30-04-2025,Enterprise,No
161,31-03-2025,Retail,No
158,19-09-2025,Retail,No
307,27-08-2025,Retail,Yes
399,12-10-2025,Enterprise,Yes
190,26-08-2025,Retail,Yes
377,07-12-2025,Retail,Yes
8,07-03-2025,Enterprise,Yes
210,16-02-2025,Retail,No
48,18-08-2025,Retail,No
300,30-07-2025,Retail,No
429,28-04-2025,Enterprise,No
14,27-06-2025,Retail,No
408,28-04-2025,Enterprise,Yes
7,01-06-2025,Retail,Yes
97,17-08-2025,Enterprise,Yes
352,01-05-2025,Enterprise,No
404,24-08-2025,Retail,Yes
12,29-11-2025,Enterprise,Yes
497,27-03-2025,Enterprise,Yes
347,21-09-2025,Retail,No
372,05-05-2025,Retail,Yes
