hub_id,hub_city,daily_shipment_capacity
3,Bangalore,3942
7,Mumbai,9088
2,Delhi,8611
3,Chennai,6627
7,Surat,9546
3,Jaipur,9506
6,Jaipur,9586
10,Jaipur,3398
4,Pune,7516
4,Jammu,9753
8,Bangalore,7816
9,Mumbai,9713
4,Delhi,8942
3,Panjim,5759
7,Jammu,6051
1,Pune,4153
10,Chennai,3289
8,Jammu,8739
4,Bangalore,1075
10,Chennai,3196
1,Chennai,2856
10,Pune,3513
3,Chennai,9691
6,Delhi,8237
8,Kolkata,6153
10,Mumbai,1645
5,Pune,6269
7,Pune,8199
4,Pune,5110
4,Delhi,1619
8,Kolkata,2398
1,Jammu,7150
3,Panjim,7010
7,Surat,1562
2,Kolkata,1855
7,Panjim,7797
3,Jaipur,1939
5,Panjim,9922
4,Bangalore,8024
1,Surat,6610
7,Chennai,2364
3,Delhi,8289
2,Surat,3278
2,Chennai,1445
6,Jaipur,3348
5,Bangalore,6998
6,Panjim,7855
9,Bangalore,2900
6,Surat,5940
10,Jaipur,9794
1,Panjim,9055
8,Delhi,6003
1,Bangalore,5621
10,Mumbai,8531
5,Chennai,3868
7,Chennai,4379
7,Jaipur,7369
2,Kolkata,1950
8,Jaipur,1592
5,Bangalore,4220
10,Surat,4922
6,Panjim,7313
1,Panjim,4182
5,Chennai,6214
7,Delhi,6752
5,Surat,4952
10,Bangalore,1257
5,Mumbai,2903
1,Kolkata,9626
10,Jammu,7024
4,Kolkata,8166
10,Jammu,3514
1,Bangalore,6384
10,Jaipur,9589
1,Jammu,1814
2,Jaipur,5213
2,Jaipur,7022
10,Bangalore,7694
3,Chennai,6976
10,Delhi,5888
9,Mumbai,6573
10,Kolkata,8180
8,Jaipur,9464
5,Jammu,2661
5,Bangalore,3213
5,Chennai,8224
3,Mumbai,3867
7,Jammu,8010
6,Chennai,5845
7,Delhi,5447
4,Panjim,9594
1,Chennai,7144
4,Pune,4193
7,Panjim,8078
5,Surat,9307
1,Pune,2017
10,Jammu,1850
8,Bangalore,7193
4,Jammu,3453
4,Delhi,1078
5,Panjim,9748
7,Mumbai,4517
6,Bangalore,1677
8,Pune,4291
10,Delhi,2556
7,Bangalore,1983
2,Kolkata,2597
7,Bangalore,5215
1,Jaipur,3543
7,Bangalore,3199
9,Mumbai,9278
4,Delhi,5353
1,Jammu,4545
2,Mumbai,7884
9,Bangalore,2421
8,Bangalore,1501
5,Jaipur,6721
2,Surat,8427
2,Kolkata,4118
9,Bangalore,9551
3,Panjim,2839
2,Kolkata,6773
2,Kolkata,9999
2,Mumbai,1262
2,Panjim,4247
3,Mumbai,5089
9,Panjim,6617
3,Mumbai,7819
2,Mumbai,1170
1,Pune,2344
4,Chennai,2938
5,Chennai,7137
8,Bangalore,5441
8,Jaipur,1080
8,Panjim,6487
4,Delhi,5797
9,Jaipur,1688
7,Kolkata,6487
10,Panjim,6098
8,Chennai,1820
10,Delhi,4802
10,Panjim,8558
9,Panjim,1718
8,Surat,7718
5,Bangalore,6454
4,Mumbai,6700
9,Chennai,9265
3,Mumbai,2169
2,Kolkata,4353
10,Surat,7002
7,Kolkata,3280
7,Jaipur,1946
3,Surat,3748
5,Pune,3714
7,Mumbai,6202
3,Kolkata,4898
6,Chennai,2964
1,Bangalore,7881
7,Mumbai,9515
4,Kolkata,8590
1,Bangalore,5418
1,Jaipur,1772
9,Kolkata,2355
10,Jammu,9736
7,Pune,5491
3,Jammu,1588
6,Jaipur,6927
8,Kolkata,7553
2,Surat,8662
6,Delhi,8502
1,Mumbai,5122
6,Delhi,1060
1,Mumbai,5896
1,Surat,8205
