order_id ,order_date,customer_id,order_value,payment_type
199,26-02-2025,242,88156,nb
500,01-01-2025,373,35059,card
168,27-06-2025,88,18985,nb
51,10-07-2025,87,50511,card
365,11-01-2025,23,63548,cash
127,19-01-2025,456,58479,cash
455,18-02-2025,97,85628,card
332,30-12-2025,453,63043,upi
139,14-06-2025,36,46209,upi
333,03-03-2025,206,22637,card
413,20-06-2025,259,17430,upi
436,14-06-2025,174,39232,card
472,19-06-2025,302,5089,card
89,24-04-2025,308,17311,card
110,30-11-2025,344,95356,card
482,15-11-2025,137,87727,cash
105,11-04-2025,354,48775,upi
259,18-08-2025,371,8404,nb
469,28-09-2025,25,16588,card
17,19-10-2025,293,12004,card
216,13-08-2025,230,84587,nb
291,18-09-2025,242,48489,card
354,27-01-2025,396,7870,nb
261,20-11-2025,461,98337,card
318,05-12-2025,26,85754,nb
343,14-09-2025,136,43915,upi
420,09-01-2025,477,24228,upi
356,21-12-2025,104,8079,cash
178,16-06-2025,415,98773,upi
300,09-08-2025,36,34566,upi
329,27-07-2025,163,2285,cash
357,18-11-2025,282,22574,cash
94,23-09-2025,456,34789,cash
250,30-07-2025,282,2001,nb
164,01-05-2025,417,14742,cash
205,06-05-2025,165,12224,cash
146,18-02-2025,483,87990,cash
348,11-01-2025,372,65280,nb
136,16-08-2025,363,70478,upi
222,03-04-2025,314,85122,card
148,29-01-2025,282,84463,cash
448,23-03-2025,336,95514,upi
119,02-01-2025,68,52981,nb
57,20-07-2025,352,19627,cash
412,04-10-2025,484,59961,nb
72,29-06-2025,446,42956,upi
196,01-09-2025,463,67174,upi
323,11-01-2025,291,98291,cash
265,29-06-2025,161,47443,cash
50,20-07-2025,11,62432,cash
254,06-05-2025,473,77829,card
69,12-08-2025,5,76178,cash
96,25-10-2025,329,13265,nb
37,10-10-2025,273,260,card
205,13-11-2025,412,21471,cash
116,22-02-2025,282,9258,upi
324,19-12-2025,123,32874,card
105,06-11-2025,63,48697,upi
494,07-07-2025,100,4443,nb
384,08-12-2025,99,23633,card
424,29-04-2025,240,75528,nb
479,20-12-2025,67,54656,upi
209,02-08-2025,307,41874,card
149,07-04-2025,490,48732,nb
262,17-09-2025,80,3155,upi
398,04-07-2025,438,15598,upi
92,15-02-2025,5,40755,nb
263,20-04-2025,33,95469,cash
114,10-02-2025,39,7757,upi
429,08-05-2025,345,43920,nb
487,17-02-2025,275,97756,card
87,03-07-2025,387,14015,nb
342,26-01-2025,220,49751,upi
280,01-04-2025,480,89334,card
192,28-07-2025,295,15206,cash
241,28-07-2025,409,72718,nb
128,17-06-2025,143,4048,nb
397,31-10-2025,95,66384,upi
270,14-12-2025,245,93434,upi
68,10-02-2025,149,503,cash
45,14-12-2025,100,74502,cash
415,23-10-2025,148,67006,upi
388,01-07-2025,133,10119,upi
49,05-02-2025,142,69803,card
